"WEO.Country.Code","ISO","Country","NGDP_R","NGDP_RPCH","NGDP","NGDPD","PPPGDP","NGDP_D","NGDPRPC","NGDPRPPPPC","NGDPPC","NGDPDPC","PPPPC","NGAP_NPGDP","PPPSH","PPPEX","NID_NGDP","NGSD_NGDP","PCPI","PCPIPCH","PCPIE","PCPIEPCH","FLIBOR6","TM_RPCH","TMG_RPCH","TX_RPCH","TXG_RPCH","LUR","LE","LP","GGR","GGR_NGDP","GGX","GGX_NGDP","GGXCNL","GGXCNL_NGDP","GGSB","GGSB_NPGDP","GGXONLB","GGXONLB_NGDP","GGXWDN","GGXWDN_NGDP","GGXWDG","GGXWDG_NGDP","NGDP_FY","BCA","BCA_NGDPD"
512,"AFG","Afghanistan",493.073,2.164,1318.478,19.428,66.384,267.4,14227.635,1774.189,38044.702,560.601,1915.519,NA,0.055,19.861,18.533,25.786,105.736,4.384,109,4.588,NA,-8.134,-7.268,-16.439,11.425,NA,NA,34.656,344.327,26.116,342.771,25.997,1.556,0.118,NA,NA,2.35,0.178,NA,NA,103.151,7.823,1318.478,1.409,7.253
914,"ALB","Albania",760.317,3.352,1475.251,11.885,34.027,194.031,264356.814,10957.976,512934.293,4132.208,11830.877,NA,0.028,43.356,24.277,16.715,101.317,1.275,102.176,2.176,NA,8.156,9.229,10.283,-0.754,15.2,NA,2.876,403.131,27.326,429.073,29.085,-25.941,-1.758,NA,NA,10.318,0.699,1003.785,68.042,1079.687,73.187,1475.251,-0.899,-7.563
612,"DZA","Algeria",7270.163,3.2,17525.1,160.13,609.703,241.055,178355.244,13853.939,429934.454,3928.385,14957.53,NA,0.505,28.744,53.949,37.416,183.699,6.398,188.33,6.957,NA,-2.289,-2.289,9.612,7.883,10.498,NA,40.762,5011.581,28.597,7297.494,41.64,-2285.913,-13.044,NA,NA,-2298.13,-13.113,2334.139,13.319,3582.079,20.44,17525.1,-26.473,-16.532
614,"AGO","Angola",1588.961,-2.58,16549.565,101.124,194.886,1041.534,57774.086,6563.18,601736.735,3676.826,7085.996,NA,0.161,84.919,27.215,24.487,193.92,30.694,222.395,41.125,NA,-25.274,-32.286,-0.606,0.571,NA,NA,27.503,2899.97,17.523,3648.044,22.043,-748.074,-4.52,-251.347,-1.209,-277.674,-1.678,NA,NA,12453.983,75.253,16549.565,-4.834,-4.78
311,"ATG","Antigua and Barbuda",3.247,5.348,3.942,1.46,2.291,121.429,35966.87,23503.575,43674.103,16175.594,25375.847,NA,0.002,1.721,24.343,24.494,134.02,-0.489,134.1,-1.121,NA,10.674,10.782,-0.444,21.438,NA,NA,0.09,0.951,24.117,0.956,24.26,-0.006,-0.143,NA,NA,0.093,2.356,NA,NA,3.399,86.215,3.942,0.002,0.151
213,"ARG","Argentina",708.338,-1.823,8188.749,554.107,879.799,1156.051,16246.257,18690.023,187815.095,12708.865,20178.852,NA,0.729,9.308,17.027,16.763,168.27,NA,187.331,NA,NA,3.644,3.448,6.759,6.498,8.467,NA,43.6,2871.622,35.068,3411.233,41.658,-539.61,-6.59,-556.042,-6.671,-383.895,-4.688,NA,NA,4500.097,54.955,8188.749,-14.693,-2.652
911,"ARM","Armenia",3367.848,0.261,5067.294,10.546,25.878,150.461,1126114.977,8014.463,1694362.579,3526.336,8652.887,NA,0.021,195.815,19.727,16.614,276.935,-1.406,277.514,-1.077,NA,8.419,7.001,19.564,21.116,18.79,NA,2.991,1085.186,21.416,1370.592,27.048,-285.406,-5.632,NA,NA,-187.129,-3.693,NA,NA,2628.002,51.862,5067.294,-0.238,-2.258
314,"ABW","Aruba",3.31,-0.124,4.738,2.647,4.03,143.145,29984.334,33813.487,42920.978,23978.2,36507.036,NA,0.003,1.176,NA,17.221,117.971,-0.888,117.95,-0.338,NA,NA,NA,NA,NA,7.7,NA,0.11,1.264,26.672,1.342,28.312,-0.078,-1.64,NA,NA,0.14,2.959,NA,NA,4.012,84.677,4.738,0.133,5.018
193,"AUS","Australia",1678.081,2.606,1699.883,1264.524,1198.301,101.299,68822.495,45519.414,69716.652,51861.44,49145.446,-0.838,0.993,1.419,24.644,20.476,109.025,1.277,109.8,1.385,NA,0.206,0.364,6.765,6.958,5.708,11.982,24.383,592.969,34.883,636.584,37.449,-43.615,-2.566,-36.369,-2.159,-27.619,-1.625,322.323,18.961,690.691,40.632,1699.883,-41.447,-3.278
122,"AUT","Austria",317.149,1.451,353.297,390.961,420.099,111.398,36287.922,44520.875,40423.884,44733.406,48067.364,-1.702,0.348,0.841,24.118,26.244,122.695,0.972,123.078,1.533,NA,3.141,3.219,1.915,1.34,6.017,4.22,8.74,173.27,49.044,178.892,50.635,-5.622,-1.591,-1.79,-0.498,0.355,0.1,203.538,57.611,295.2,83.556,353.297,8.313,2.126
