Country,"Gross domestic product, constant prices - Percent change","Gross domestic product, current prices - Purchasing power parity; international dollars","Gross domestic product per capita, constant prices - Purchasing power parity; 2011 international dollar",Output gap in percent of potential GDP - Percent of potential GDP,Total investment - Percent of GDP,Gross national savings - Percent of GDP,"Inflation, average consumer prices - Percent change",Unemployment rate - Percent of total labor force,General government primary net lending/borrowing - Percent of GDP,General government net debt - Percent of GDP,Current account balance - Percent of GDP
Bahrain,3.462,67.312,43790.545,,25.814,21.182,2.799,3.7,-14.577,,-4.632
Republic of Congo,-2.829,29.769,6500.639,,60.857,-12.792,3.191,,-17.823,,-73.649
Equatorial Guinea,-8.576,31.961,36060.1,,16.564,3.615,1.4,,-10.438,,-12.949
Guinea,10.458,25.354,1855.845,,24.764,-6.347,8.174,,0.939,,-31.11
Kyrgyz Republic,4.336,21.725,3277.14,,31.61,20.106,0.389,7.211,-4.823,,-11.618
Maldives,4.481,6.46,16918.611,,20,-4.517,0.801,,-7.217,,-24.517
Mongolia,1.168,37.107,11403.231,,29.369,23.099,0.491,7.948,-13.036,,-6.27
Montenegro,2.949,10.428,15513.673,,26.095,9.869,-0.258,,-4.02,,-16.235
Mozambique,3.763,35.09,1130.41,,38.118,-1.162,19.241,,-3.317,,-39.28
Namibia,0.7,26.306,10482.185,,23.366,9.612,6.727,,-6.395,36.519,-13.757
Niger,4.857,20.448,1041.004,,37.038,20.626,0.177,,-5.195,40.619,-15.688
Oman,4.979,188.343,43510.951,,29.343,10.534,1.1,,-21.643,-28.544,-18.683
Saudi Arabia,1.671,1757.078,51269.869,,30.933,27.232,2.029,5.6,-20.166,-17.115,-3.701
Togo,5.1,12.192,1484.657,,31.125,21.804,0.857,,-7.181,,-9.321
Afghanistan,2.164,66.384,1774.189,,18.533,25.786,4.384,,0.178,,7.253
Angola,-2.58,194.886,6563.18,,27.215,24.487,30.694,,-1.678,,-4.78
Antigua and Barbuda,5.348,2.291,23503.575,,24.343,24.494,-0.489,,2.356,,0.151
Australia,2.606,1198.301,45519.414,-0.838,24.644,20.476,1.277,5.708,-1.625,18.961,-3.278
Austria,1.451,420.099,44520.875,-1.702,24.118,26.244,0.972,6.017,0.1,57.611,2.126
Azerbaijan,-3.1,168.849,16113.483,,24.93,22.656,12.562,5.043,-0.772,,-3.606
The Bahamas,-1.69,11.664,29335.563,,25.554,18.225,-0.347,12.15,-0.3,,-7.329
Bangladesh,7.202,630.738,3617.054,,30.11,30.564,5.678,,-1.45,,0.59
Belarus,-2.526,171.862,16759.492,,26.478,22.979,11.829,1.017,0.31,,-3.499
Belgium,1.412,510.527,41804.855,-0.479,23.952,24.049,1.77,7.858,0.058,92.067,0.097
Botswana,4.315,37.403,15395.223,,28.566,38.807,2.81,,-7.647,-3.178,13.711
